col1,node,x,y,m1,m2
139,1,110.706,-370.962,10,5
140,1,-37.0727,85.1289,10,5
141,1,97.1911,-108.902,10,5
142,1,201.954,-360.471,10,5
143,1,192.495,199.78,10,5
144,1,530.633,-229.138,10,5
145,1,106.431,-522.198,10,5
146,1,367.219,179.637,10,5
147,1,-260.453,187.4,10,5
148,1,515.722,-273.593,10,5
149,1,213.299,-278.037,10,5
150,1,167.69,-462.279,10,5
151,1,-71.8281,348.831,10,5
152,1,461.53,-357.317,10,5
153,1,-312.088,-101.542,10,5
154,1,203.793,117.373,10,5
155,1,298.753,-369.762,10,5
156,1,-381.31,-1.69584,10,5
157,1,-202.236,-99.1509,10,5
158,1,242.526,268.711,10,5
159,1,41.2117,-290.569,10,5
160,1,-212.348,-317.706,10,5
161,1,291.198,-467.891,10,5
162,1,170.118,106.035,10,5
163,1,-106.679,-104.355,10,5
164,1,261.318,123.196,10,5
165,1,-151.183,324.363,10,5
166,1,398.371,-320.44,10,5
167,1,302.095,-492.571,10,5
168,1,-221.871,-98.831,10,5
169,1,-252.199,144.129,10,5
170,1,-129.738,-266.758,10,5
171,1,145.738,3.59155,10,5
172,1,380.799,146.22,10,5
173,1,-108.326,96.9578,10,5
174,1,-6.44697,25.6759,10,5
175,1,-366.403,107.145,10,5
176,1,-155.484,-235.107,10,5
177,1,676.36,-200.18,10,5
178,1,597.595,-290.358,10,5
179,1,1054.07,-450.08,10,5
180,1,913.073,110.446,10,5
181,1,851.225,-571.084,10,5
182,1,1192.37,-202.509,10,5
183,1,1050.44,-285.547,10,5
184,1,871.755,-155.311,10,5
185,1,994.24,-605.271,10,5
186,1,857.014,-11.883,10,5
187,1,1184.73,-492.382,10,5
188,1,1222.12,-72.9942,10,5
189,1,1322.07,-210.588,10,5
190,1,986.647,158.996,10,5
191,1,1004.36,-289.685,10,5
192,1,1153.71,6.30266,10,5
193,1,773.387,209.206,10,5
194,1,968.736,-343.949,10,5
195,1,1012.47,-138.108,10,5
196,1,476.567,-58.8496,10,5
197,1,784.496,-485.699,10,5
198,1,1184.24,86.3973,10,5
199,1,582.457,-347.462,10,5
200,1,654.163,-344.004,10,5
201,1,745.224,269.346,10,5
202,1,699.079,-144.655,10,5
203,1,623.163,-405.477,10,5
204,1,619.689,-437.236,10,5
205,1,949.589,278.209,10,5
206,1,1045.09,-107.85,10,5
207,1,1085.64,-269.82,10,5
208,1,667.032,-147.67,10,5
209,1,1027.98,-413.738,10,5
210,1,610.627,191.4,10,5
211,1,650.956,199.642,10,5
212,1,851.404,-255.048,10,5
213,1,882.207,265.749,10,5
214,1,581.579,-500.097,10,5
215,1,818.905,44.679,10,5
216,1,1028.43,195.749,10,5
217,1,1219.77,86.3801,10,5
218,1,988.282,-590.282,10,5
219,1,1000.1,126.552,10,5
220,1,770.831,126.902,10,5
221,1,939.892,133.472,10,5
222,1,710.398,-215.162,10,5
223,1,846.147,-195.452,10,5
224,1,677.291,36.4281,10,5
225,1,756.422,228.744,10,5
226,1,876.47,227.279,10,5
227,1,449.094,-329.648,10,5
228,1,726.769,-588.895,10,5
229,1,813.019,-439.264,10,5
230,1,879.323,-205.607,10,5
231,1,453.391,-269.304,10,5
232,1,608.035,-446.39,10,5
233,1,588.53,-211.597,10,5
234,1,628.279,148.096,10,5
235,1,1034.76,-564.816,10,5
236,1,954.866,-100.546,10,5
237,1,1284.36,-13.8677,10,5
238,1,1053.17,188.676,10,5
239,1,787.148,-533.412,10,5
240,1,940.677,-174.593,10,5
241,1,815.916,65.6114,10,5
242,1,643.529,-558.417,10,5
243,1,1025.35,90.3654,10,5
244,1,670.231,-581.822,10,5
245,1,743.153,-404.618,10,5
246,1,1064.78,-317.552,10,5
247,1,1098.35,121.221,10,5
248,1,1098.53,-536.304,10,5
249,1,1083.04,-298.662,10,5
250,1,571.7,83.6433,10,5
251,1,1154.31,-446.234,10,5
252,1,869.432,-656.525,10,5
253,1,953.853,303.729,10,5
254,1,444.846,-328.296,10,5
255,1,531.454,-161.801,10,5
256,1,1317.71,-341.726,10,5
257,1,1054.09,-529.495,10,5
258,1,628.25,-591.265,10,5
259,1,1164.92,-286.584,10,5
260,1,1173.09,-447.411,10,5
261,1,620.502,-506.647,10,5
262,1,973.801,-614.974,10,5
263,1,871.708,212.595,10,5
264,1,702.083,-137.29,10,5
265,1,1034.02,-621.043,10,5
266,1,1187.48,-466.608,10,5
267,1,569.414,29.5495,10,5
268,1,573.34,-404.624,10,5
269,1,715.946,-221.058,10,5
270,1,823.081,-218.103,10,5
271,1,793.639,-517.789,10,5
272,1,1080.9,-486.433,10,5
273,1,1168.78,52.6498,10,5
274,1,793.018,-182.015,10,5
275,1,1024.9,-459.959,10,5
276,1,684.806,-430.723,10,5
277,1,105.231,-998.285,10,5
278,1,218.443,-962.764,10,5
279,1,14.792,-726.142,10,5
280,1,635.628,-747.712,10,5
281,1,263.668,-1095.78,10,5
282,1,548.697,-565.909,10,5
283,1,180.156,-1147.62,10,5
284,1,482.79,-1136.04,10,5
285,1,81.3421,-623.229,10,5
286,1,974.219,-939.593,10,5
287,1,861.326,-1056.27,10,5
288,1,324.917,-479.887,10,5
289,1,575.131,-457.803,10,5
290,1,833.099,-902.712,10,5
291,1,876.015,-1123.63,10,5
292,1,645.341,-487.342,10,5
293,1,591.173,-1226.72,10,5
294,1,718.232,-939.777,10,5
295,1,544.322,-1286.34,10,5
296,1,352.535,-520.708,10,5
297,1,163.062,-935.612,10,5
298,1,351.291,-948.603,10,5
299,1,211.373,-755.436,10,5
300,1,236.709,-1190.85,10,5
301,1,603.745,-419.265,10,5
302,1,618.438,-920.819,10,5
303,1,352.263,-637.708,10,5
304,1,275.532,-1103.25,10,5
305,1,336.619,-1142.58,10,5
306,1,857.683,-661.502,10,5
307,1,281.674,-892.697,10,5
308,1,799.667,-762.097,10,5
309,1,988.308,-769.471,10,5
310,1,155.759,-1058.03,10,5
311,1,875.245,-1111.25,10,5
312,1,664.09,-500.54,10,5
313,1,63.992,-762.485,10,5
314,1,192.998,-1173.48,10,5
315,1,660.168,-572.726,10,5
316,1,731.905,-1000.85,10,5
317,1,857.396,-1052.22,10,5
318,1,250.316,-757.292,10,5
319,1,673.683,-854.39,10,5
320,1,770.834,-1091.81,10,5
321,1,414.504,-1268.33,10,5
322,1,615.476,-553.672,10,5
323,1,620.565,-601.415,10,5
324,1,361.173,-946.322,10,5
325,1,675.42,-626.439,10,5
326,1,564.178,-816.125,10,5
327,1,600.589,-650.138,10,5
328,1,117.397,-701.249,10,5
329,1,645.333,-877.493,10,5
330,1,408.494,-884.198,10,5
331,1,231.891,-578.745,10,5
332,1,259.023,-691.812,10,5
333,1,526.339,-319.588,10,5
334,1,308.791,-885.034,10,5
335,1,829.332,-725.748,10,5
336,1,678.154,-1196.32,10,5
337,1,198.984,-404.851,10,5
338,1,861.281,-716.454,10,5
339,1,631.934,-409.266,10,5
340,1,419.743,-1068.92,10,5
341,1,817.302,-1054.43,10,5
342,1,447.658,-702.858,10,5
343,1,555.485,-1242.53,10,5
344,1,377.782,-1188.49,10,5
345,1,739.077,-955.249,10,5
346,1,512.795,-1069.74,10,5
347,1,587.777,-999.307,10,5
348,1,411.387,-859.465,10,5
349,1,667.892,-678.84,10,5
350,1,515.326,-612.47,10,5
351,1,406.472,-860.839,10,5
352,1,882.284,-1107.81,10,5
353,1,959.997,-631.036,10,5
354,1,259.861,-747.873,10,5
355,1,333.041,-903.66,10,5
356,1,211.052,-971.744,10,5
357,1,701.159,-1237.78,10,5
358,1,132.303,-860.138,10,5
359,1,477.913,-1032.16,10,5
360,1,473.152,-400.439,10,5
361,1,445.873,-812.18,10,5
362,1,776.441,-919.807,10,5
363,1,607.831,-449.29,10,5
364,1,283.35,-635.36,10,5
365,1,337.331,-1160.13,10,5
366,1,265.469,-706.463,10,5
367,1,424.908,-1072.95,10,5
368,1,604.852,-371.968,10,5
369,1,487.484,-383.996,10,5
370,1,965.825,-750.211,10,5
371,1,741.061,-1106.9,10,5
372,1,331.127,-428.731,10,5
373,1,54.6367,-874.105,10,5
374,1,508.21,-543.758,10,5
375,1,829.846,-637.602,10,5
376,1,809.494,-1046.42,10,5
377,1,-448.128,-578.196,10,5
378,1,-173.604,-588.109,10,5
379,1,-634.463,-193.632,10,5
380,1,-370.502,-921.366,10,5
381,1,-659.406,-570.85,10,5
382,1,-396.439,-275.149,10,5
383,1,-430.126,-647.467,10,5
384,1,-309.019,-474.083,10,5
385,1,-616.433,-978.681,10,5
386,1,-113.258,-329.133,10,5
387,1,-385.332,-749.983,10,5
388,1,-952.595,-533.732,10,5
389,1,-515.261,-640.39,10,5
390,1,-900.244,-802.668,10,5
391,1,-541.369,-1079.12,10,5
392,1,-157.646,-346.589,10,5
393,1,-372.101,-651.84,10,5
394,1,-560.552,-357.624,10,5
395,1,-465.932,-742.651,10,5
396,1,-527.853,-862.439,10,5
397,1,-298.039,-170.205,10,5
398,1,-511.843,-754.345,10,5
399,1,-65.9857,-653.676,10,5
400,1,-748.775,-250.111,10,5
401,1,-839.765,-510.314,10,5
402,1,-683.846,-833.644,10,5
403,1,-667.951,-705.644,10,5
404,1,-254.247,-449.008,10,5
405,1,-257.608,-291.293,10,5
406,1,-169.422,-290.134,10,5
407,1,-721.918,-712.933,10,5
408,1,-700.964,-916.023,10,5
409,1,-707.834,-150.422,10,5
410,1,-502.504,-772.802,10,5
411,1,-173.97,-513.805,10,5
412,1,-707.907,-463.242,10,5
413,1,-713.755,-540.581,10,5
414,1,-640.289,-291.745,10,5
415,1,-119.633,-585.478,10,5
416,1,-283.998,-357.102,10,5
417,1,-141.144,-376.367,10,5
418,1,-429.83,-1002.47,10,5
419,1,-128.957,-848.17,10,5
420,1,-422.15,-557.567,10,5
421,1,-729.843,-634.865,10,5
422,1,-373.679,-671.695,10,5
423,1,-816.793,-349.425,10,5
424,1,-792.372,-918.965,10,5
425,1,-831.55,-677.391,10,5
426,1,-355.416,-940.591,10,5
427,1,-315.033,-710.647,10,5
428,1,-447.789,-895.848,10,5
429,1,-637.509,-493.727,10,5
430,1,-411.612,-890.009,10,5
431,1,-530.712,-1082.43,10,5
432,1,-256.151,-969.311,10,5
433,1,-610.763,-987.828,10,5
434,1,-915.591,-639.242,10,5
435,1,-902.8,-604.978,10,5
436,1,-562.927,-674.937,10,5
437,1,-507.983,-986.173,10,5
438,1,-400.611,-453.836,10,5
439,1,-375.453,-183.612,10,5
440,1,-283.055,-954.936,10,5
441,1,-358.013,-225.556,10,5
442,1,-585.078,-449.335,10,5
443,1,-400.272,-702.352,10,5
444,1,-780.311,-566.296,10,5
445,1,-439.122,-344.305,10,5
446,1,-789.217,-1006.16,10,5
447,1,-459.957,-248.777,10,5
448,1,-436.379,-1075.35,10,5
449,1,-352.256,-387.849,10,5
450,1,-894.724,-749.367,10,5
451,1,-353.549,-771.536,10,5
452,1,-704.751,-951.524,10,5
453,1,-298.942,-990.769,10,5
454,1,-510.141,-682.676,10,5
455,1,-853.669,-810.631,10,5
456,1,-484.44,-1037.6,10,5
457,1,-552.058,-463.92,10,5
458,1,-370.958,-741.479,10,5
459,1,-393.024,-328.69,10,5
460,1,-810.647,-491.458,10,5
461,1,-617.687,-726.127,10,5
462,1,-735.958,-184.786,10,5
463,1,-648.327,-700.22,10,5
464,1,-373.777,-1005.84,10,5
465,1,-766.053,-419.367,10,5
466,1,-727.797,-438.373,10,5
467,1,-628.281,-675.773,10,5
468,1,-254.646,-789.853,10,5
469,1,-220.857,-878.089,10,5
470,1,-855.384,-515.207,10,5
471,1,-584.848,-370.745,10,5
472,1,-513.072,-219.644,10,5
473,1,-578.546,-430.797,10,5
474,1,-523.657,-945.703,10,5
475,1,-740.946,-579.783,10,5
476,1,-407.049,-740.77,10,5
477,1,-1134.5,-189.56,10,5
478,1,-844.083,240.943,10,5
479,1,-465.684,36.3678,10,5
480,1,-539.882,448.983,10,5
481,1,-759.558,627.273,10,5
482,1,-1290,54.6673,10,5
483,1,-1336.52,243.548,10,5
484,1,-562.896,-117.54,10,5
485,1,-1073.96,269.916,10,5
486,1,-788.577,-20.7738,10,5
487,1,-1023.17,-105.823,10,5
488,1,-1101.08,445.514,10,5
489,1,-1277.61,252.808,10,5
490,1,-961.472,-185.32,10,5
491,1,-928.797,136.827,10,5
492,1,-917.483,363.969,10,5
493,1,-1007.92,-165.735,10,5
494,1,-857.258,549.183,10,5
495,1,-834.931,436.583,10,5
496,1,-1217.02,117.195,10,5
497,1,-954.115,240.081,10,5
498,1,-518.731,397.842,10,5
499,1,-531.92,-195.622,10,5
500,1,-1156.06,111.091,10,5
501,1,-764.478,417.87,10,5
502,1,-1320.32,319.393,10,5
503,1,-1072.76,-258.143,10,5
504,1,-1033.35,269.316,10,5
505,1,-1035.8,218.184,10,5
506,1,-1289.03,-143.522,10,5
507,1,-531.264,441.983,10,5
508,1,-650.224,523.784,10,5
509,1,-1013.46,436.651,10,5
510,1,-1242.61,246.855,10,5
511,1,-907.289,-345.614,10,5
512,1,-748.046,108.473,10,5
513,1,-777.613,161.399,10,5
514,1,-511.939,-137.218,10,5
515,1,-578.167,226.542,10,5
516,1,-797.119,361.051,10,5
517,1,-821.831,-241.727,10,5
518,1,-587.894,298.206,10,5
519,1,-1176.98,330.127,10,5
520,1,-1258.49,-126.269,10,5
521,1,-1099.13,59.4725,10,5
522,1,-757.254,-240.733,10,5
523,1,-449.735,359.142,10,5
524,1,-1198.12,194.784,10,5
525,1,-1195.2,521.683,10,5
526,1,-752.62,66.4296,10,5
527,1,-511.79,-126.273,10,5
528,1,-720.144,594.782,10,5
529,1,-756.917,81.7297,10,5
530,1,-679.762,-297.384,10,5
531,1,-926.168,144.698,10,5
532,1,-790.471,394.63,10,5
533,1,-1069.89,-37.1724,10,5
534,1,-892.639,51.0811,10,5
535,1,-943.981,-144.793,10,5
536,1,-706.609,-45.6898,10,5
537,1,-1280.36,12.9294,10,5
538,1,-510.722,42.8721,10,5
539,1,-1105.01,-103.961,10,5
540,1,-393.56,173.45,10,5
541,1,-1207.04,509.928,10,5
542,1,-683.084,296.844,10,5
543,1,-806.841,-109.407,10,5
544,1,-724.756,539.67,10,5
545,1,-922.369,175.004,10,5
546,1,-1042.92,-300.117,10,5
547,1,-422.384,181.114,10,5
548,1,-714.179,504.695,10,5
549,1,-604.822,532.553,10,5
550,1,-1101.76,-269.873,10,5
551,1,-951.762,511.756,10,5
552,1,-636.495,523.362,10,5
553,1,-863.457,312.193,10,5
554,1,-1335.39,282.496,10,5
555,1,-1217.47,50.2523,10,5
556,1,-595.284,-226.804,10,5
557,1,-1261.95,466.052,10,5
558,1,-792.457,339.068,10,5
559,1,-886.507,446.618,10,5
560,1,-547.829,-49.9282,10,5
561,1,-1155.15,437.362,10,5
562,1,-1197.74,113.038,10,5
563,1,-1308.38,141.794,10,5
564,1,-491.288,192.088,10,5
565,1,-1196.37,-137.463,10,5
566,1,-1361.19,86.9514,10,5
567,1,-869.693,556.889,10,5
568,1,-947.314,-189.589,10,5
569,1,-841.849,-57.5211,10,5
570,1,-1023.32,403.926,10,5
571,1,-1029.96,-15.9571,10,5
572,1,-888.659,224.915,10,5
573,1,-682.936,393.118,10,5
574,1,-818.957,448.272,10,5
575,1,-860.526,-30.7016,10,5
576,1,-702.138,162.321,10,5
577,1,-223.42,495.604,10,5
578,1,-560.493,1094.04,10,5
579,1,-612.84,427.933,10,5
580,1,-305.504,959.316,10,5
581,1,-152.387,603.124,10,5
582,1,-754.389,573.494,10,5
583,1,-532.078,1029.64,10,5
584,1,-910.865,880.229,10,5
585,1,-714.226,1134.67,10,5
586,1,-334.84,520.254,10,5
587,1,-192.05,701.236,10,5
588,1,-895.35,381.284,10,5
589,1,-495.974,474.834,10,5
590,1,-872.579,744.785,10,5
591,1,-871.107,446.833,10,5
592,1,-349.834,497.23,10,5
593,1,-726.207,692.72,10,5
594,1,-318.948,686.041,10,5
595,1,-682.35,724.311,10,5
596,1,-506.687,422.465,10,5
597,1,-299.63,622.43,10,5
598,1,-550.344,590.41,10,5
599,1,-656.841,540.772,10,5
600,1,-626.381,747.016,10,5
601,1,-445.343,460.465,10,5
602,1,-1030.15,709.162,10,5
603,1,-447.069,918.666,10,5
604,1,-512.075,297.786,10,5
605,1,-842.856,677.979,10,5
606,1,-587.19,992.41,10,5
607,1,-425.848,805.484,10,5
608,1,-645.842,384.047,10,5
609,1,-492.089,1172.39,10,5
610,1,-177.619,608.121,10,5
611,1,-665.827,352.97,10,5
612,1,-728.44,1149.61,10,5
613,1,-504.964,896.143,10,5
614,1,-490.343,319.76,10,5
615,1,-726.229,1049.66,10,5
616,1,-463.448,633.05,10,5
617,1,-399.16,525.285,10,5
618,1,-138.274,569.222,10,5
619,1,-983.926,624.189,10,5
620,1,-449.095,679.207,10,5
621,1,-393.202,772.507,10,5
622,1,-621.588,855.611,10,5
623,1,-600.033,865.504,10,5
624,1,-797.67,495.694,10,5
625,1,-677.81,399.502,10,5
626,1,-625.43,1100.21,10,5
627,1,-738.245,1120.74,10,5
628,1,-290.602,937.989,10,5
629,1,-831.089,374.835,10,5
630,1,-822.668,1211.03,10,5
631,1,-585.118,993.159,10,5
632,1,-479.53,886.799,10,5
633,1,-695.828,709.868,10,5
634,1,-426.222,865.975,10,5
635,1,-530.539,278.638,10,5
636,1,-607.878,1210.58,10,5
637,1,-358.817,1068.45,10,5
638,1,-489.402,467.873,10,5
639,1,-861.727,576.877,10,5
640,1,-374.174,594.855,10,5
641,1,-396.462,816.375,10,5
642,1,-595.15,476.875,10,5
643,1,-645.097,320.931,10,5
644,1,-460.421,486.635,10,5
645,1,-657.406,594.122,10,5
646,1,-942.93,1104.39,10,5
647,1,-781.492,1072.84,10,5
648,1,-124.215,892.315,10,5
649,1,-749.346,699.809,10,5
650,1,-325.485,892.1,10,5
651,1,-373.217,956.911,10,5
652,1,-391.095,929.302,10,5
653,1,-226.262,465.119,10,5
654,1,-761.616,468.377,10,5
655,1,-819.741,1067.21,10,5
656,1,-493.164,475.222,10,5
657,1,-667.978,410.841,10,5
658,1,-610.049,438.806,10,5
659,1,-854.113,1036.64,10,5
660,1,-519.866,663.151,10,5
661,1,-657.559,547.491,10,5
662,1,-485.34,776.677,10,5
663,1,-604.666,665.616,10,5
664,1,-322.884,720.117,10,5
665,1,-543.352,856.281,10,5
666,1,-767.244,575.136,10,5
667,1,-866.033,1102.23,10,5
668,1,-832.535,713.327,10,5
669,1,-727.107,591.415,10,5
670,1,-591.938,749.027,10,5
671,1,-555.696,407.647,10,5
672,1,-861.483,988.276,10,5
673,1,-432.375,864.858,10,5
674,1,-285.213,624.318,10,5
675,1,-746.915,363.083,10,5
676,1,-899.921,719.709,10,5
677,1,769.375,896.043,10,5
678,1,-40.425,993.369,10,5
679,1,779.182,942.641,10,5
680,1,51.7902,1102.5,10,5
681,1,425.431,889.218,10,5
682,1,407.058,417.894,10,5
683,1,696.034,941.153,10,5
684,1,181.684,1145.46,10,5
685,1,657.268,899.35,10,5
686,1,-110.782,669.385,10,5
687,1,514.732,676.997,10,5
688,1,274.28,547.989,10,5
689,1,91.7388,517.154,10,5
690,1,474.914,796.67,10,5
691,1,19.5394,1020.65,10,5
692,1,7.15068,862.104,10,5
693,1,302.156,1341.83,10,5
694,1,569.628,997.533,10,5
695,1,336.712,513.365,10,5
696,1,625.54,513.097,10,5
697,1,-59.5837,836.676,10,5
698,1,35.6841,646.439,10,5
699,1,557.305,1286.16,10,5
700,1,556.643,822.347,10,5
701,1,141.879,1167.14,10,5
702,1,480.714,1039.34,10,5
703,1,461.041,409.969,10,5
704,1,86.1234,640.677,10,5
705,1,2.79099,702.905,10,5
706,1,-149.825,757.421,10,5
707,1,419.152,889.113,10,5
708,1,80.2075,974.285,10,5
709,1,693.487,797.131,10,5
710,1,16.5434,580.102,10,5
711,1,682.235,842.728,10,5
712,1,-10.6097,797.804,10,5
713,1,474.665,969.058,10,5
714,1,593.571,934.143,10,5
715,1,407.027,880.053,10,5
716,1,28.6104,897.833,10,5
717,1,-30.0999,715.671,10,5
718,1,102.481,678.386,10,5
719,1,106.722,878.845,10,5
720,1,370.068,745.599,10,5
721,1,361.099,573.003,10,5
722,1,771.414,991.562,10,5
723,1,124.024,1129.84,10,5
724,1,517.229,1081.99,10,5
725,1,773.154,855.549,10,5
726,1,810.427,1016.55,10,5
727,1,386.087,1234.98,10,5
728,1,47.4467,868.904,10,5
729,1,230.7,506.261,10,5
730,1,27.7382,554.74,10,5
731,1,189.977,797.72,10,5
732,1,445.869,993.053,10,5
733,1,273.861,430.426,10,5
734,1,112.268,899.763,10,5
735,1,588.666,798.517,10,5
736,1,296.111,1281.48,10,5
737,1,102.594,706.637,10,5
738,1,-126.535,714.235,10,5
739,1,451.164,457.742,10,5
740,1,265.632,1296.89,10,5
741,1,68.0422,951.805,10,5
742,1,428.969,456.436,10,5
743,1,558.277,711.204,10,5
744,1,726.73,896.054,10,5
745,1,507.091,495.396,10,5
746,1,138.658,1092.61,10,5
747,1,318.578,502.738,10,5
748,1,-3.41025,857.582,10,5
749,1,332.267,1350.2,10,5
750,1,238.173,648.515,10,5
751,1,383.366,1341.51,10,5
752,1,761.735,692.573,10,5
753,1,320.256,1206.6,10,5
754,1,354.59,744.752,10,5
755,1,386.076,957.278,10,5
756,1,560.676,530.541,10,5
757,1,54.813,1135.43,10,5
758,1,252.633,1109.48,10,5
759,1,575.965,705.856,10,5
760,1,671.221,590.338,10,5
761,1,581.269,789.714,10,5
762,1,661.291,1122.5,10,5
763,1,362.325,468.051,10,5
764,1,365.956,904.267,10,5
765,1,-64.0595,636.221,10,5
766,1,403.923,1304.31,10,5
767,1,387.532,658.886,10,5
768,1,270.019,773.724,10,5
769,1,159.41,590.331,10,5
770,1,709.939,1123.52,10,5
771,1,-134.12,970.369,10,5
772,1,-105.771,969.739,10,5
773,1,-51.7114,661.284,10,5
774,1,588.128,1099.61,10,5
775,1,391.546,887.199,10,5
776,1,360.866,951.674,10,5
777,1,2260.77,33.964,10,5
778,1,1905.22,-315.055,10,5
779,1,1745.79,266.773,10,5
780,1,1463.17,138.145,10,5
781,1,1782.24,-128.968,10,5
782,1,1611.58,221.962,10,5
783,1,2326.05,-261.682,10,5
784,1,1691.12,-272.663,10,5
785,1,1825.38,-259.325,10,5
786,1,2179.05,306.434,10,5
787,1,1812.86,-273.999,10,5
788,1,2119.06,-482.644,10,5
789,1,1897.84,92.7367,10,5
790,1,1921.11,-28.8718,10,5
791,1,2054.72,73.6977,10,5
792,1,2079.22,-170.729,10,5
793,1,1694.04,-392.894,10,5
794,1,1469.15,161.059,10,5
795,1,2112.38,363.781,10,5
796,1,2331.04,-185.861,10,5
797,1,2191.91,-138.536,10,5
798,1,1480.9,121.751,10,5
799,1,1968.26,53.8019,10,5
800,1,1863.62,404.821,10,5
801,1,1901.52,266.19,10,5
